tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
758,5/1/2020 11:41,5/1/2020 11:54,3678,Fairmount Ave,40.72572614,-74.07195926,3276,Marin Light Rail,40.71458404,-74.04281706,42144,Customer,1969,0
1197,5/1/2020 11:49,5/1/2020 12:09,3205,JC Medical Center,40.71653978,-74.04963791,3187,Warren St,40.7211236,-74.03805095,42198,Subscriber,1968,1
264,5/1/2020 11:57,5/1/2020 12:01,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.7308971,-74.06391263,41356,Subscriber,1986,1
780,5/1/2020 11:57,5/1/2020 12:10,3677,Glenwood Ave,40.72755147,-74.07106072,3203,Hamilton Park,40.72759597,-74.04424731,42168,Subscriber,1959,1
1235,5/1/2020 11:58,5/1/2020 12:18,3268,Lafayette Park,40.71346383,-74.06285852,3205,JC Medical Center,40.71653978,-74.04963791,42462,Subscriber,1992,1
2437,5/1/2020 12:01,5/1/2020 12:42,3276,Marin Light Rail,40.71458404,-74.04281706,3185,City Hall,40.7177325,-74.043845,42489,Subscriber,1987,1
1084,5/1/2020 12:05,5/1/2020 12:23,3191,Union St,40.7182113,-74.0836394,3195,Sip Ave,40.7308971,-74.06391263,42475,Subscriber,1977,1
133,5/1/2020 12:08,5/1/2020 12:10,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,42499,Subscriber,1997,2
564,5/1/2020 12:10,5/1/2020 12:20,3203,Hamilton Park,40.72759597,-74.04424731,3206,Hilltop,40.7311689,-74.0575736,42374,Subscriber,1997,2
235,5/1/2020 12:10,5/1/2020 12:14,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,42168,Subscriber,1959,1
2298,5/1/2020 12:14,5/1/2020 12:53,3203,Hamilton Park,40.72759597,-74.04424731,3199,Newport Pkwy,40.7287448,-74.0321082,42168,Subscriber,1959,1
405,5/1/2020 12:19,5/1/2020 12:26,3185,City Hall,40.7177325,-74.043845,3203,Hamilton Park,40.72759597,-74.04424731,42134,Subscriber,1953,2
301,5/1/2020 12:24,5/1/2020 12:29,3214,Essex Light Rail,40.7127742,-74.0364857,3276,Marin Light Rail,40.71458404,-74.04281706,42178,Subscriber,1958,1
1781,5/1/2020 12:27,5/1/2020 12:56,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42389,Subscriber,1971,2
1433,5/1/2020 12:30,5/1/2020 12:54,3280,Astor Place,40.7192822,-74.07126188,3268,Lafayette Park,40.71346383,-74.06285852,42143,Subscriber,1983,1
789,5/1/2020 12:34,5/1/2020 12:48,3195,Sip Ave,40.7308971,-74.06391263,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42475,Subscriber,1990,1
369,5/1/2020 12:36,5/1/2020 12:42,3640,Journal Square,40.73367,-74.0625,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42383,Subscriber,1978,1
4069,5/1/2020 12:36,5/1/2020 13:44,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,42178,Subscriber,1983,1
365,5/1/2020 12:37,5/1/2020 12:43,3276,Marin Light Rail,40.71458404,-74.04281706,3184,Paulus Hook,40.7141454,-74.0335519,42133,Subscriber,1958,1
1310,5/1/2020 12:37,5/1/2020 12:59,3191,Union St,40.7182113,-74.0836394,3198,Heights Elevator,40.74871595,-74.0404433,42261,Subscriber,1991,1
129,5/1/2020 12:45,5/1/2020 12:48,3194,McGinley Square,40.72533993,-74.06762213,3677,Glenwood Ave,40.72755147,-74.07106072,42275,Subscriber,1978,1
325,5/1/2020 12:51,5/1/2020 12:56,3199,Newport Pkwy,40.7287448,-74.0321082,3638,Washington St,40.7242941,-74.0354826,42314,Subscriber,1980,1
2654,5/1/2020 12:54,5/1/2020 13:38,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,42168,Subscriber,1959,1
205,5/1/2020 12:57,5/1/2020 13:00,3193,Lincoln Park,40.7246051,-74.07840595,3677,Glenwood Ave,40.72755147,-74.07106072,42278,Subscriber,1978,1
309,5/1/2020 12:57,5/1/2020 13:02,3269,Brunswick & 6th,40.72601173,-74.05038893,3186,Grove St PATH,40.71958612,-74.04311746,42252,Subscriber,1977,2
935,5/1/2020 13:00,5/1/2020 13:16,3199,Newport Pkwy,40.7287448,-74.0321082,3214,Essex Light Rail,40.7127742,-74.0364857,42428,Subscriber,1982,2
588,5/1/2020 13:00,5/1/2020 13:10,3638,Washington St,40.7242941,-74.0354826,3199,Newport Pkwy,40.7287448,-74.0321082,42354,Subscriber,1980,1
376,5/1/2020 13:01,5/1/2020 13:07,3192,Liberty Light Rail,40.7112423,-74.0557013,3213,Van Vorst Park,40.71848892,-74.04772663,42389,Subscriber,1983,1
647,5/1/2020 13:01,5/1/2020 13:12,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3199,Newport Pkwy,40.7287448,-74.0321082,42341,Subscriber,1987,2
112,5/1/2020 13:03,5/1/2020 13:05,3678,Fairmount Ave,40.72572614,-74.07195926,3194,McGinley Square,40.72533993,-74.06762213,42601,Subscriber,1978,1
362,5/1/2020 13:04,5/1/2020 13:10,3194,McGinley Square,40.72533993,-74.06762213,3483,Montgomery St,40.71942,-74.05099,42550,Subscriber,1994,1
1435,5/1/2020 13:07,5/1/2020 13:31,3199,Newport Pkwy,40.7287448,-74.0321082,3186,Grove St PATH,40.71958612,-74.04311746,18220,Customer,1989,1
490,5/1/2020 13:12,5/1/2020 13:21,3213,Van Vorst Park,40.71848892,-74.04772663,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42467,Subscriber,1983,1
414,5/1/2020 13:14,5/1/2020 13:21,3213,Van Vorst Park,40.71848892,-74.04772663,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42135,Subscriber,1994,1
138,5/1/2020 13:14,5/1/2020 13:17,3213,Van Vorst Park,40.71848892,-74.04772663,3205,JC Medical Center,40.71653978,-74.04963791,42308,Subscriber,1964,2
212,5/1/2020 13:16,5/1/2020 13:19,3275,Columbus Drive,40.7183552,-74.03891444,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42602,Subscriber,1977,2
447,5/1/2020 13:19,5/1/2020 13:26,3639,Harborside,40.7192517,-74.034234,3209,Brunswick St,40.7241765,-74.0506564,42412,Subscriber,1984,1
219,5/1/2020 13:22,5/1/2020 13:25,3194,McGinley Square,40.72533993,-74.06762213,3280,Astor Place,40.7192822,-74.07126188,42147,Subscriber,1959,1
171,5/1/2020 13:25,5/1/2020 13:28,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,42485,Subscriber,1964,2
129,5/1/2020 13:31,5/1/2020 13:33,3185,City Hall,40.7177325,-74.043845,3481,York St,40.71649,-74.04105,42165,Subscriber,1964,2
2671,5/1/2020 13:35,5/1/2020 14:20,3186,Grove St PATH,40.71958612,-74.04311746,3186,Grove St PATH,40.71958612,-74.04311746,42320,Subscriber,1985,1
154,5/1/2020 13:35,5/1/2020 13:38,3206,Hilltop,40.7311689,-74.0575736,3640,Journal Square,40.73367,-74.0625,42374,Subscriber,1991,1
1586,5/1/2020 13:38,5/1/2020 14:04,3186,Grove St PATH,40.71958612,-74.04311746,3199,Newport Pkwy,40.7287448,-74.0321082,42110,Customer,1989,1
249,5/1/2020 13:40,5/1/2020 13:44,3213,Van Vorst Park,40.71848892,-74.04772663,3211,Newark Ave,40.72152515,-74.04630454,40790,Subscriber,1968,1
1355,5/1/2020 13:40,5/1/2020 14:03,3199,Newport Pkwy,40.7287448,-74.0321082,3677,Glenwood Ave,40.72755147,-74.07106072,42168,Subscriber,1959,1
892,5/1/2020 13:51,5/1/2020 14:06,3198,Heights Elevator,40.74871595,-74.0404433,3201,Dey St,40.737711,-74.066921,42261,Subscriber,1991,1
753,5/1/2020 13:54,5/1/2020 14:06,3199,Newport Pkwy,40.7287448,-74.0321082,3185,City Hall,40.7177325,-74.043845,42341,Subscriber,1987,2
1223,5/1/2020 13:56,5/1/2020 14:17,3279,Dixon Mills,40.72163014,-74.04996783,3198,Heights Elevator,40.74871595,-74.0404433,42240,Subscriber,1987,2
119,5/1/2020 13:57,5/1/2020 13:59,3276,Marin Light Rail,40.71458404,-74.04281706,3185,City Hall,40.7177325,-74.043845,42144,Subscriber,1993,1
516,5/1/2020 13:57,5/1/2020 14:05,3211,Newark Ave,40.72152515,-74.04630454,3211,Newark Ave,40.72152515,-74.04630454,42259,Subscriber,1982,1
161,5/1/2020 13:59,5/1/2020 14:02,3272,Jersey & 3rd,40.72333159,-74.04595256,3278,Monmouth and 6th,40.72568548,-74.04879034,42465,Subscriber,1984,1
136,5/1/2020 14:00,5/1/2020 14:02,3481,York St,40.71649,-74.04105,3275,Columbus Drive,40.7183552,-74.03891444,42375,Subscriber,1964,2
484,5/1/2020 14:03,5/1/2020 14:11,3202,Newport PATH,40.7272235,-74.0337589,3184,Paulus Hook,40.7141454,-74.0335519,39059,Subscriber,1973,1
278,5/1/2020 14:06,5/1/2020 14:11,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.7308971,-74.06391263,42116,Subscriber,1980,1
117,5/1/2020 14:08,5/1/2020 14:10,3185,City Hall,40.7177325,-74.043845,3276,Marin Light Rail,40.71458404,-74.04281706,42386,Subscriber,1993,1
84,5/1/2020 14:11,5/1/2020 14:12,3273,Manila & 1st,40.72165072,-74.04288411,3186,Grove St PATH,40.71958612,-74.04311746,42184,Subscriber,1964,2
303,5/1/2020 14:11,5/1/2020 14:16,3186,Grove St PATH,40.71958612,-74.04311746,3278,Monmouth and 6th,40.72568548,-74.04879034,42146,Subscriber,1974,2
858,5/1/2020 14:11,5/1/2020 14:26,3201,Dey St,40.737711,-74.066921,3191,Union St,40.7182113,-74.0836394,42261,Subscriber,1991,1
3202,5/1/2020 14:25,5/1/2020 15:18,3267,Morris Canal,40.71241882,-74.03852552,3276,Marin Light Rail,40.71458404,-74.04281706,42366,Subscriber,1968,1
121,5/1/2020 14:27,5/1/2020 14:29,3185,City Hall,40.7177325,-74.043845,3213,Van Vorst Park,40.71848892,-74.04772663,42489,Subscriber,1964,2
2291,5/1/2020 14:27,5/1/2020 15:06,3198,Heights Elevator,40.74871595,-74.0404433,3186,Grove St PATH,40.71958612,-74.04311746,42377,Subscriber,1981,1
2185,5/1/2020 14:50,5/1/2020 15:26,3198,Heights Elevator,40.74871595,-74.0404433,3198,Heights Elevator,40.74871595,-74.0404433,42240,Customer,1992,2
109,5/1/2020 14:55,5/1/2020 14:57,3186,Grove St PATH,40.71958612,-74.04311746,3211,Newark Ave,40.72152515,-74.04630454,42114,Subscriber,1993,1
373,5/1/2020 15:03,5/1/2020 15:09,3275,Columbus Drive,40.7183552,-74.03891444,3202,Newport PATH,40.7272235,-74.0337589,42449,Subscriber,1987,0
338,5/1/2020 15:05,5/1/2020 15:10,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3185,City Hall,40.7177325,-74.043845,42441,Subscriber,1993,1
736,5/1/2020 15:06,5/1/2020 15:18,3694,Jackson Square,40.71113,-74.0789,3186,Grove St PATH,40.71958612,-74.04311746,42222,Subscriber,1988,1
393,5/1/2020 15:06,5/1/2020 15:13,3280,Astor Place,40.7192822,-74.07126188,3195,Sip Ave,40.7308971,-74.06391263,42403,Subscriber,1976,1
7160,5/1/2020 15:07,5/1/2020 17:06,3272,Jersey & 3rd,40.72333159,-74.04595256,3272,Jersey & 3rd,40.72333159,-74.04595256,42411,Subscriber,1986,1
842,5/1/2020 15:07,5/1/2020 15:21,3211,Newark Ave,40.72152515,-74.04630454,3273,Manila & 1st,40.72165072,-74.04288411,42114,Subscriber,1965,1
3479,5/1/2020 15:08,5/1/2020 16:06,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42600,Subscriber,1982,2
404,5/1/2020 15:13,5/1/2020 15:19,3195,Sip Ave,40.7308971,-74.06391263,3678,Fairmount Ave,40.72572614,-74.07195926,42535,Subscriber,1954,1
590,5/1/2020 15:14,5/1/2020 15:24,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3207,Oakland Ave,40.7376037,-74.0524783,42121,Subscriber,1982,1
1915,5/1/2020 15:19,5/1/2020 15:51,3276,Marin Light Rail,40.71458404,-74.04281706,3267,Morris Canal,40.71241882,-74.03852552,42408,Subscriber,1968,1
911,5/1/2020 15:25,5/1/2020 15:40,3211,Newark Ave,40.72152515,-74.04630454,3694,Jackson Square,40.71113,-74.0789,42118,Subscriber,1988,1
2149,5/1/2020 15:26,5/1/2020 16:02,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3209,Brunswick St,40.7241765,-74.0506564,42208,Subscriber,1982,1
313,5/1/2020 15:36,5/1/2020 15:41,3214,Essex Light Rail,40.7127742,-74.0364857,3185,City Hall,40.7177325,-74.043845,42407,Subscriber,1985,1
652,5/1/2020 15:39,5/1/2020 15:50,3186,Grove St PATH,40.71958612,-74.04311746,3206,Hilltop,40.7311689,-74.0575736,42350,Subscriber,1968,1
234,5/1/2020 15:41,5/1/2020 15:45,3195,Sip Ave,40.7308971,-74.06391263,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42352,Subscriber,1966,1
603,5/1/2020 15:41,5/1/2020 15:51,3205,JC Medical Center,40.71653978,-74.04963791,3205,JC Medical Center,40.71653978,-74.04963791,42519,Customer,1969,0
3651,5/1/2020 15:50,5/1/2020 16:51,3269,Brunswick & 6th,40.72601173,-74.05038893,3269,Brunswick & 6th,40.72601173,-74.05038893,42115,Customer,1969,0
1140,5/1/2020 15:50,5/1/2020 16:09,3199,Newport Pkwy,40.7287448,-74.0321082,3639,Harborside,40.7192517,-74.034234,42110,Customer,1969,0
306,5/1/2020 15:51,5/1/2020 15:56,3278,Monmouth and 6th,40.72568548,-74.04879034,3483,Montgomery St,40.71942,-74.05099,42465,Subscriber,1981,2
1373,5/1/2020 15:51,5/1/2020 16:14,3195,Sip Ave,40.7308971,-74.06391263,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42625,Customer,1969,0
3095,5/1/2020 15:52,5/1/2020 16:44,3279,Dixon Mills,40.72163014,-74.04996783,3279,Dixon Mills,40.72163014,-74.04996783,42233,Subscriber,1984,1
5237,5/1/2020 16:02,5/1/2020 17:29,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,42354,Customer,1999,2
1485,5/1/2020 16:04,5/1/2020 16:29,3203,Hamilton Park,40.72759597,-74.04424731,3193,Lincoln Park,40.7246051,-74.07840595,42134,Customer,1986,1
483,5/1/2020 16:06,5/1/2020 16:14,3273,Manila & 1st,40.72165072,-74.04288411,3211,Newark Ave,40.72152515,-74.04630454,42582,Subscriber,1970,1
690,5/1/2020 16:15,5/1/2020 16:27,3207,Oakland Ave,40.7376037,-74.0524783,3483,Montgomery St,40.71942,-74.05099,42121,Subscriber,1989,2
467,5/1/2020 16:18,5/1/2020 16:25,3206,Hilltop,40.7311689,-74.0575736,3211,Newark Ave,40.72152515,-74.04630454,42350,Subscriber,1968,1
339,5/1/2020 16:23,5/1/2020 16:29,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3206,Hilltop,40.7311689,-74.0575736,42383,Customer,1969,0
583,5/1/2020 16:24,5/1/2020 16:34,3195,Sip Ave,40.7308971,-74.06391263,3270,Jersey & 6th St,40.72528911,-74.04557168,41356,Customer,1996,2
1116,5/1/2020 16:30,5/1/2020 16:48,3205,JC Medical Center,40.71653978,-74.04963791,3206,Hilltop,40.7311689,-74.0575736,42174,Subscriber,1977,2
1425,5/1/2020 16:30,5/1/2020 16:54,3193,Lincoln Park,40.7246051,-74.07840595,3203,Hamilton Park,40.72759597,-74.04424731,42134,Customer,1986,1
538,5/1/2020 16:32,5/1/2020 16:41,3267,Morris Canal,40.71241882,-74.03852552,3187,Warren St,40.7211236,-74.03805095,42129,Subscriber,1956,1
522,5/1/2020 16:32,5/1/2020 16:41,3267,Morris Canal,40.71241882,-74.03852552,3187,Warren St,40.7211236,-74.03805095,42109,Subscriber,1957,1
474,5/1/2020 16:37,5/1/2020 16:45,3270,Jersey & 6th St,40.72528911,-74.04557168,3202,Newport PATH,40.7272235,-74.0337589,41356,Customer,1996,2
266,5/1/2020 16:39,5/1/2020 16:44,3195,Sip Ave,40.7308971,-74.06391263,3678,Fairmount Ave,40.72572614,-74.07195926,42507,Subscriber,1981,1
1712,5/1/2020 16:41,5/1/2020 17:10,3278,Monmouth and 6th,40.72568548,-74.04879034,3205,JC Medical Center,40.71653978,-74.04963791,42146,Subscriber,1983,1
968,5/1/2020 16:44,5/1/2020 17:00,3275,Columbus Drive,40.7183552,-74.03891444,3275,Columbus Drive,40.7183552,-74.03891444,42545,Customer,1969,0
2368,5/1/2020 16:44,5/1/2020 17:24,3269,Brunswick & 6th,40.72601173,-74.05038893,3278,Monmouth and 6th,40.72568548,-74.04879034,42191,Subscriber,1977,1
723,5/1/2020 16:46,5/1/2020 16:59,3187,Warren St,40.7211236,-74.03805095,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42302,Subscriber,1985,1
699,5/1/2020 16:47,5/1/2020 16:59,3187,Warren St,40.7211236,-74.03805095,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,38937,Customer,1969,0
1379,5/1/2020 16:53,5/1/2020 17:16,3269,Brunswick & 6th,40.72601173,-74.05038893,3192,Liberty Light Rail,40.7112423,-74.0557013,42115,Subscriber,1974,2
3811,5/1/2020 16:56,5/1/2020 18:00,3213,Van Vorst Park,40.71848892,-74.04772663,3213,Van Vorst Park,40.71848892,-74.04772663,42229,Customer,1998,2
377,5/1/2020 16:59,5/1/2020 17:05,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3267,Morris Canal,40.71241882,-74.03852552,42602,Subscriber,1988,1
314,5/1/2020 16:59,5/1/2020 17:04,3483,Montgomery St,40.71942,-74.05099,3278,Monmouth and 6th,40.72568548,-74.04879034,42550,Subscriber,1981,2
333,5/1/2020 17:01,5/1/2020 17:06,3267,Morris Canal,40.71241882,-74.03852552,3267,Morris Canal,40.71241882,-74.03852552,42408,Subscriber,1968,1
383,5/1/2020 17:08,5/1/2020 17:14,3275,Columbus Drive,40.7183552,-74.03891444,3199,Newport Pkwy,40.7287448,-74.0321082,42255,Subscriber,1992,2
789,5/1/2020 17:08,5/1/2020 17:21,3640,Journal Square,40.73367,-74.0625,3211,Newark Ave,40.72152515,-74.04630454,42204,Customer,1998,1
689,5/1/2020 17:10,5/1/2020 17:21,3640,Journal Square,40.73367,-74.0625,3211,Newark Ave,40.72152515,-74.04630454,42348,Customer,1969,0
