tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
4737,4/1/2020 10:47,4/1/2020 12:06,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,42442,Subscriber,1953,2
4724,4/1/2020 10:47,4/1/2020 12:06,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,42237,Subscriber,1956,1
1271,4/1/2020 10:55,4/1/2020 11:17,3481,York St,40.71649,-74.04105,3192,Liberty Light Rail,40.7112423,-74.0557013,42301,Customer,1969,0
224,4/1/2020 10:59,4/1/2020 11:03,3185,City Hall,40.7177325,-74.043845,3639,Harborside,40.7192517,-74.034234,42586,Subscriber,1985,1
1643,4/1/2020 11:01,4/1/2020 11:28,3678,Fairmount Ave,40.72572614,-74.07195926,3267,Morris Canal,40.71241882,-74.03852552,34038,Subscriber,1970,1
424,4/1/2020 11:07,4/1/2020 11:14,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,42543,Subscriber,1999,1
804,4/1/2020 11:07,4/1/2020 11:20,3191,Union St,40.7182113,-74.0836394,3195,Sip Ave,40.7308971,-74.06391263,42145,Subscriber,1977,1
1004,4/1/2020 11:07,4/1/2020 11:24,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,42131,Subscriber,1995,2
1528,4/1/2020 11:12,4/1/2020 11:38,3199,Newport Pkwy,40.7287448,-74.0321082,3677,Glenwood Ave,40.72755147,-74.07106072,42497,Subscriber,1959,1
412,4/1/2020 11:17,4/1/2020 11:23,3186,Grove St PATH,40.71958612,-74.04311746,3681,Grand St,40.71517768,-74.03768331,42367,Subscriber,1987,1
1353,4/1/2020 11:20,4/1/2020 11:42,3192,Liberty Light Rail,40.7112423,-74.0557013,3481,York St,40.71649,-74.04105,42301,Customer,1969,0
737,4/1/2020 11:30,4/1/2020 11:42,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3192,Liberty Light Rail,40.7112423,-74.0557013,42255,Subscriber,1989,1
2872,4/1/2020 11:30,4/1/2020 12:18,3195,Sip Ave,40.7308971,-74.06391263,3195,Sip Ave,40.7308971,-74.06391263,42159,Subscriber,1987,1
1349,4/1/2020 11:37,4/1/2020 11:59,3677,Glenwood Ave,40.72755147,-74.07106072,3199,Newport Pkwy,40.7287448,-74.0321082,42527,Customer,1987,2
742,4/1/2020 11:41,4/1/2020 11:54,3678,Fairmount Ave,40.72572614,-74.07195926,3276,Marin Light Rail,40.71458404,-74.04281706,42205,Customer,1969,0
1795,4/1/2020 11:44,4/1/2020 12:14,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42209,Subscriber,1994,1
352,4/1/2020 11:48,4/1/2020 11:54,3639,Harborside,40.7192517,-74.034234,3267,Morris Canal,40.71241882,-74.03852552,42274,Subscriber,1984,1
1311,4/1/2020 11:51,4/1/2020 12:13,3203,Hamilton Park,40.72759597,-74.04424731,3678,Fairmount Ave,40.72572614,-74.07195926,42109,Subscriber,1994,2
743,4/1/2020 11:58,4/1/2020 12:10,3481,York St,40.71649,-74.04105,3275,Columbus Drive,40.7183552,-74.03891444,42117,Subscriber,1986,1
3922,4/1/2020 12:07,4/1/2020 13:12,3268,Lafayette Park,40.71346383,-74.06285852,3198,Heights Elevator,40.74871595,-74.0404433,42246,Subscriber,1971,2
775,4/1/2020 12:14,4/1/2020 12:27,3269,Brunswick & 6th,40.72601173,-74.05038893,3184,Paulus Hook,40.7141454,-74.0335519,42331,Subscriber,1977,2
4607,4/1/2020 12:19,4/1/2020 13:36,3214,Essex Light Rail,40.7127742,-74.0364857,3214,Essex Light Rail,40.7127742,-74.0364857,42349,Subscriber,1987,2
237,4/1/2020 12:20,4/1/2020 12:24,3185,City Hall,40.7177325,-74.043845,3272,Jersey & 3rd,40.72333159,-74.04595256,42224,Subscriber,1985,1
304,4/1/2020 12:29,4/1/2020 12:34,3639,Harborside,40.7192517,-74.034234,3211,Newark Ave,40.72152515,-74.04630454,42213,Subscriber,1986,1
1767,4/1/2020 12:35,4/1/2020 13:05,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42155,Subscriber,1978,1
696,4/1/2020 12:39,4/1/2020 12:50,3639,Harborside,40.7192517,-74.034234,3639,Harborside,40.7192517,-74.034234,42299,Subscriber,1988,1
433,4/1/2020 12:40,4/1/2020 12:47,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958612,-74.04311746,25963,Subscriber,1989,0
2077,4/1/2020 12:42,4/1/2020 13:17,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42276,Customer,1969,0
1200,4/1/2020 12:49,4/1/2020 13:09,3639,Harborside,40.7192517,-74.034234,3192,Liberty Light Rail,40.7112423,-74.0557013,42528,Subscriber,1970,1
1501,4/1/2020 12:50,4/1/2020 13:15,3276,Marin Light Rail,40.71458404,-74.04281706,3681,Grand St,40.71517768,-74.03768331,42131,Subscriber,1962,1
1368,4/1/2020 12:50,4/1/2020 13:13,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,42420,Customer,2002,2
431,4/1/2020 12:54,4/1/2020 13:01,3212,Christ Hospital,40.73478582,-74.05044364,3198,Heights Elevator,40.74871595,-74.0404433,42324,Subscriber,1988,1
548,4/1/2020 12:54,4/1/2020 13:03,3186,Grove St PATH,40.71958612,-74.04311746,3638,Washington St,40.7242941,-74.0354826,42229,Subscriber,1989,0
463,4/1/2020 12:54,4/1/2020 13:02,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,42494,Subscriber,1990,1
165,4/1/2020 12:58,4/1/2020 13:01,3481,York St,40.71649,-74.04105,3213,Van Vorst Park,40.71848892,-74.04772663,42407,Subscriber,1979,1
2172,4/1/2020 13:01,4/1/2020 13:37,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42181,Customer,1982,1
481,4/1/2020 13:03,4/1/2020 13:11,3205,JC Medical Center,40.71653978,-74.04963791,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42303,Subscriber,1989,1
138,4/1/2020 13:04,4/1/2020 13:06,3187,Warren St,40.7211236,-74.03805095,3273,Manila & 1st,40.72165072,-74.04288411,42372,Subscriber,1983,1
908,4/1/2020 13:04,4/1/2020 13:19,3201,Dey St,40.737711,-74.066921,3279,Dixon Mills,40.72163014,-74.04996783,42356,Subscriber,1995,0
981,4/1/2020 13:05,4/1/2020 13:21,3275,Columbus Drive,40.7183552,-74.03891444,3273,Manila & 1st,40.72165072,-74.04288411,42117,Customer,1969,0
2319,4/1/2020 13:05,4/1/2020 13:43,3681,Grand St,40.71517768,-74.03768331,3199,Newport Pkwy,40.7287448,-74.0321082,42611,Subscriber,1961,1
981,4/1/2020 13:05,4/1/2020 13:21,3275,Columbus Drive,40.7183552,-74.03891444,3273,Manila & 1st,40.72165072,-74.04288411,41685,Customer,1969,0
1019,4/1/2020 13:06,4/1/2020 13:23,3694,Jackson Square,40.71113,-74.0789,3275,Columbus Drive,40.7183552,-74.03891444,42148,Subscriber,1988,1
1500,4/1/2020 13:08,4/1/2020 13:33,3199,Newport Pkwy,40.7287448,-74.0321082,3677,Glenwood Ave,40.72755147,-74.07106072,42527,Customer,1987,2
2495,4/1/2020 13:09,4/1/2020 13:51,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42528,Subscriber,1970,1
696,4/1/2020 13:10,4/1/2020 13:21,3678,Fairmount Ave,40.72572614,-74.07195926,3278,Monmouth and 6th,40.72568548,-74.04879034,42109,Subscriber,1986,2
5646,4/1/2020 13:10,4/1/2020 14:44,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42568,Customer,1988,2
1748,4/1/2020 13:12,4/1/2020 13:41,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,39059,Subscriber,1993,2
1738,4/1/2020 13:12,4/1/2020 13:41,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,42191,Customer,1989,2
5491,4/1/2020 13:13,4/1/2020 14:45,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42199,Customer,1986,1
553,4/1/2020 13:13,4/1/2020 13:22,3187,Warren St,40.7211236,-74.03805095,3483,Montgomery St,40.71942,-74.05099,42342,Subscriber,1994,1
540,4/1/2020 13:13,4/1/2020 13:22,3187,Warren St,40.7211236,-74.03805095,3483,Montgomery St,40.71942,-74.05099,42373,Subscriber,1993,1
179,4/1/2020 13:14,4/1/2020 13:17,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,42370,Subscriber,1986,1
478,4/1/2020 13:14,4/1/2020 13:22,3187,Warren St,40.7211236,-74.03805095,3483,Montgomery St,40.71942,-74.05099,42629,Customer,1969,0
119,4/1/2020 13:14,4/1/2020 13:16,3273,Manila & 1st,40.72165072,-74.04288411,3187,Warren St,40.7211236,-74.03805095,42372,Subscriber,1983,1
2689,4/1/2020 13:14,4/1/2020 13:59,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3213,Van Vorst Park,40.71848892,-74.04772663,42581,Customer,1990,2
2562,4/1/2020 13:17,4/1/2020 13:59,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3213,Van Vorst Park,40.71848892,-74.04772663,42136,Customer,1969,0
75,4/1/2020 13:17,4/1/2020 13:18,3272,Jersey & 3rd,40.72333159,-74.04595256,3211,Newark Ave,40.72152515,-74.04630454,42224,Subscriber,1985,1
352,4/1/2020 13:17,4/1/2020 13:23,3272,Jersey & 3rd,40.72333159,-74.04595256,3639,Harborside,40.7192517,-74.034234,42295,Subscriber,1981,2
184,4/1/2020 13:18,4/1/2020 13:21,3213,Van Vorst Park,40.71848892,-74.04772663,3272,Jersey & 3rd,40.72333159,-74.04595256,42566,Subscriber,1968,1
5449,4/1/2020 13:19,4/1/2020 14:49,3184,Paulus Hook,40.7141454,-74.0335519,3184,Paulus Hook,40.7141454,-74.0335519,42318,Customer,1999,2
2313,4/1/2020 13:20,4/1/2020 13:58,3209,Brunswick St,40.7241765,-74.0506564,3209,Brunswick St,40.7241765,-74.0506564,34386,Subscriber,1993,2
2250,4/1/2020 13:21,4/1/2020 13:58,3209,Brunswick St,40.7241765,-74.0506564,3209,Brunswick St,40.7241765,-74.0506564,39992,Customer,1969,0
709,4/1/2020 13:24,4/1/2020 13:36,3694,Jackson Square,40.71113,-74.0789,3195,Sip Ave,40.7308971,-74.06391263,42220,Subscriber,1969,1
466,4/1/2020 13:26,4/1/2020 13:33,3209,Brunswick St,40.7241765,-74.0506564,3639,Harborside,40.7192517,-74.034234,38358,Subscriber,1986,1
2897,4/1/2020 13:27,4/1/2020 14:15,3205,JC Medical Center,40.71653978,-74.04963791,3205,JC Medical Center,40.71653978,-74.04963791,42206,Customer,1969,0
2437,4/1/2020 13:27,4/1/2020 14:07,3205,JC Medical Center,40.71653978,-74.04963791,3205,JC Medical Center,40.71653978,-74.04963791,42414,Customer,1969,0
2624,4/1/2020 13:30,4/1/2020 14:13,3203,Hamilton Park,40.72759597,-74.04424731,3213,Van Vorst Park,40.71848892,-74.04772663,42352,Subscriber,1968,1
161,4/1/2020 13:31,4/1/2020 13:34,3211,Newark Ave,40.72152515,-74.04630454,3185,City Hall,40.7177325,-74.043845,42590,Subscriber,1985,1
608,4/1/2020 13:33,4/1/2020 13:43,3483,Montgomery St,40.71942,-74.05099,3187,Warren St,40.7211236,-74.03805095,42259,Subscriber,1994,1
585,4/1/2020 13:33,4/1/2020 13:43,3483,Montgomery St,40.71942,-74.05099,3187,Warren St,40.7211236,-74.03805095,42377,Subscriber,1993,1
564,4/1/2020 13:34,4/1/2020 13:43,3483,Montgomery St,40.71942,-74.05099,3187,Warren St,40.7211236,-74.03805095,19853,Customer,1969,0
942,4/1/2020 13:36,4/1/2020 13:51,3269,Brunswick & 6th,40.72601173,-74.05038893,3196,Riverview Park,40.7443187,-74.0439909,42386,Subscriber,1987,2
257,4/1/2020 13:38,4/1/2020 13:42,3210,Pershing Field,40.74267714,-74.05178863,3212,Christ Hospital,40.73478582,-74.05044364,27580,Subscriber,1988,1
1273,4/1/2020 13:41,4/1/2020 14:03,3276,Marin Light Rail,40.71458404,-74.04281706,3185,City Hall,40.7177325,-74.043845,42390,Subscriber,1985,1
2081,4/1/2020 13:46,4/1/2020 14:21,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,42505,Customer,1989,1
1326,4/1/2020 13:48,4/1/2020 14:11,3679,Bergen Ave,40.72210379,-74.071455,3193,Lincoln Park,40.7246051,-74.07840595,42436,Subscriber,1987,1
841,4/1/2020 13:51,4/1/2020 14:05,3192,Liberty Light Rail,40.7112423,-74.0557013,3639,Harborside,40.7192517,-74.034234,42528,Subscriber,1970,1
